0,1,2,3,4,5,6
1.25,1,0,30.83,0,202,+
3.04,6,560,58.67,4.46,43,+
1.5,0,824,24.5,0.5,280,+
3.75,5,3,27.83,1.54,100,+
1.71,0,0,20.17,5.625,120,+
2.5,0,0,32.08,4,360,+
6.5,0,31285,33.17,1.04,164,+
0.04,0,1349,22.92,11.585,80,+
3.96,0,314,54.42,0.5,180,+
3.165,0,1442,42.5,4.915,52,+
2.165,0,0,22.08,0.83,128,+
4.335,0,200,29.92,1.835,260,+
1,0,0,38.25,6,0,+
0.04,0,2690,48.08,6.04,0,+
5,7,0,45.83,10.5,0,+
0.25,10,0,36.67,4.415,320,+
0.96,3,0,28.25,0.875,396,+
3.17,10,245,23.25,5.875,120,+
0.665,0,0,21.83,0.25,0,+
0.75,7,0,19.17,8.585,96,+
2.5,17,1208,25,11.25,200,+
0.835,0,0,23.25,1,300,+
7.875,6,1260,47.75,8,0,+
3.085,1,11,27.42,14.5,120,+
0.5,3,0,41.17,6.5,145,+
1.5,2,0,15.83,0.585,100,+
5.165,9,0,47,13,0,+
15,17,0,56.58,18.5,0,+
7,3,0,57.42,8.5,0,+
5,6,10000,42.08,1.04,500,+
5.04,5,0,29.25,14.79,168,+
7.96,8,0,42,9.79,0,+
7.585,15,5000,49.5,7.585,0,+
5,0,4000,36.75,5.125,0,+
0.415,5,560,22.58,10.75,0,+
2,11,35,27.83,1.5,434,+
1.835,12,713,27.25,1.585,583,+
0.5,2,551,23,11.75,300,+
0.25,2,500,27.75,0.585,260,+
14.415,11,300,54.58,9.415,30,+
4.5,12,221,34.17,9.17,0,+
5.335,11,2283,28.92,15,0,+
0.75,1,100,29.67,1.415,240,+
8.625,6,0,39.58,13.915,70,+
28.5,40,15,56.42,28,0,+
2.625,11,284,54.33,6.75,0,+
0.125,23,1236,41,2.04,455,+
6.04,3,300,31.92,4.46,311,+
3.5,0,0,41.5,1.54,216,+
0.165,0,0,23.92,0.665,100,+
0.875,0,0,25.75,0.5,491,+
1.75,0,0,26,1,280,+
0.04,0,5800,37.42,2.04,400,+
0,0,200,34.92,2.5,239,+
7.415,0,0,34.25,3,0,+
0.835,0,300,23.33,11.625,160,+
0.085,0,0,23.17,0,0,+
5,0,0,44.33,0.5,320,+
5.75,0,0,35.17,4.5,711,+
6,11,0,43.25,3,80,+
1.25,4,0,56.75,12.25,200,+
3,9,730,31.67,16.165,250,+
1.5,2,400,23.42,0.79,80,+
1.585,1,0,20.42,0.835,0,+
4.29,1,0,26.67,4.25,120,+
1.54,1,50000,34.17,1.54,520,+
2,11,456,36,1,0,+
0.25,3,15108,25.5,0.375,260,+
1.46,7,2954,19.42,6.5,80,+
1.625,1,500,35.17,25.125,515,+
1.585,0,0,32.33,7.5,420,-
12.5,0,0,34.83,4,184.014771,-
13.5,0,0,38.58,5,980,-
10.75,0,0,44.25,0.5,400,-
1.625,0,2,44.83,7,160,-
0.375,1,0,20.67,5.29,160,-
0.125,0,0,34.08,6.5,443,-
0.585,0,0,19.17,0.585,160,-
2.5,1,20,21.67,1.165,180,-
0.25,0,0,21.5,9.75,140,-
0,1,0,49.58,19,94,-
2,0,0,27.67,1.5,368,-
0.25,0,0,39.83,0.5,288,-
3,0,0,31.56817109,3.5,300,-
0.455,0,0,27.25,0.625,200,-
5,0,0,37.17,4,280,-
0.875,0,0,31.56817109,0.375,928,-
4,0,0,25.67,2.21,188,-
1,0,0,34,4.5,240,-
0,0,27,49,1.5,100,-
5,0,0,62.5,12.75,112,-
0.5,0,0,31.42,15.5,120,-
8.5,0,0,31.56817109,5,0,-
9.46,0,100,52.33,1.375,200,-
1.5,0,225,28.75,1.5,0,-
0.5,0,0,28.58,3.54,171,-
0.125,0,1,23,0.625,180,-
0.835,0,0,31.56817109,0.5,320,-
3,0,0,22.5,11,268,-
1,2,500,28.5,1,167,-
0.25,0,400,37.5,1.75,164,-
4,0,0,35.25,16.5,80,-
0.375,2,38,18.67,5,0,-
2.25,2,5,25,12,120,-
5.75,2,0,27.83,4,75,-
0,20,130,54.83,15.5,152,-
0.5,0,0,28.75,1.165,280,-
4.5,0,0,25,11,120,-
10,0,0,40.92,2.25,176,-
0.795,5,5,19.75,0.75,140,-
3.5,3,0,29.17,3.5,329,-
0.5,3,147,24.5,1.04,180,-
0.875,0,0,24.58,12.5,260,-
1,3,0,33.75,0.75,212,-
1.375,3,210,20.67,1.25,140,-
1.29,2,0,25.42,1.125,200,-
11.5,7,5,37.75,7,300,-
6.29,15,11202,52.5,6.5,0,+
14,6,1332,57.83,7.04,360,+
0.335,1,50,20.75,10.335,80,+
0.04,1,300,39.92,6.21,200,+
1.21,67,258,25.67,12.5,140,+
1.5,12,567,24.75,12.5,120,+
7.375,3,0,44.17,6.665,0,+
8.5,5,0,23.5,9,120,+
7.5,6,1000,34.92,5,0,+
2.5,12,2510,47.67,2.5,410,+
2.5,7,809,22.75,11,100,+
3.25,2,610,34.42,4.25,274,+
0.835,0,0,28.42,3.5,280,+
13,1,0,67.75,5.5,0,+
2.25,1,150,20.42,1.835,100,+
6.5,6,51100,47.42,8,375,+
2.5,6,367,36.25,5,0,+
5.5,12,1000,32.67,5.5,408,+
6,0,0,48.58,6.5,350,+
0.5,3,1000,39.92,0.54,200,+
4.25,6,0,33.58,2.75,204,+
1.625,6,600,18.83,9.5,40,+
5,2,5000,26.92,13.5,0,+
0.625,9,0,31.25,3.75,181,+
0,15,247,56.5,16,0,+
1.75,8,375,43,0.29,100,+
2,1,278,22.33,11,80,+
5.085,9,827,27.25,1.665,399,+
2.75,6,2072,32.83,2.5,160,+
2.375,3,582,23.25,1.5,0,+
8,14,2300,40.33,7.54,0,+
4,7,3065,30.5,6.5,0,+
5.5,14,2200,52.83,15,0,+
0.415,11,6,46.67,0.46,440,+
4,14,1602,58.33,10,0,+
4.25,12,0,37.33,6.5,93,+
1.085,11,2184,23.08,2.5,60,+
5.5,3,0,32.75,1.5,0,+
0,11,0,21.67,11.5,0,+
2.54,1,0,28.5,3.04,70,+
0,14,3376,68.67,15,0,+
4.165,2,0,28,2,181,+
0.04,1,2000,34.08,0.08,280,+
1,4,7544,27.67,2,140,+
1.75,2,15,44,2,0,+
1.665,1,20,25.08,1.71,395,+
